station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,15,,,,,,,
Bay St / College St (East Side),43.660439,-79.385525,28,The Pancake PalaceBagel Stop College ParkPastucci's Canada IncPizzaioloDeer Garden SignaturesNeo Coffee Bar Bay X CollegeBooster JuiceJoe's Barber ShopNeo Coffee Bar Bay X CollegeCreate Cord Blood BankBMO Bank of MontrealCredit-Bail Cibc LimitéeMeridian Credit UnionCIBCTD Canada Trust ATM,restaurantrestaurantrestaurantrestaurantrestaurantrestaurantbarbarbarbankbankbankbankbankbank,563.0,6.0,3.0,6.0,15.0
Richmond St W / York St,43.650745,-79.383633,17,"Ramen IsshinOxford ResidentialBistro on TwoGrandma Loves YouThe Good Son PizzaHibiscus CafeReynaCherry Street Bar-B-QueShort & Sweet BakeshopLosCo VeganKaufman Allan Barrister & SolicitorStephen T. Lyon Barrister & SolicitorCherry Street Bar-B-QueFrank's Barber ShopMaierovits, Martin BarristerBasman Smith Llp Barristers & Solicitors Fisher, Kevin WKerkmann Robert W Barr & SolctrBasman Smith Llp Barristers & Solicitors",restaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantrestaurantbarbarbarbarbarbarbarbar,695.0,0.0,8.0,10.0,18.0
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,17,Cider HouseReunion Island Coffee BarCider HouseCafe Tibet Bar and GrillBlush Beauty Bar and EstheticsGate 403 Bar & GrillTD Bank Financial GroupTD Canada Trust Branch and ATM,restaurantbarbarbarbarbarbankbank,259.0,2.0,5.0,1.0,8.0
Bay St / Bloor St W (West Side),43.669244,-79.3894,19,BirrotecaBenefit Cosmetics Brow BarJames FH Barnes AppraisalsTd WaterhouseTD Bank Financial GroupTD Canada Trust ATMTD Canada Trust Branch and ATM,barbarbarbankbankbankbank,184.0,4.0,3.0,0.0,7.0
Queen St W / Spadina Ave,43.649147,-79.395504,10,Bqm Diner IncBuonoA&W RestaurantChick-Fil-AThe RivoliHorseshoe TavernPaint NiteEmpire Barber ShopXanders Bar & Grill,restaurantrestaurantrestaurantrestaurantbarbarbarbarbar,283.0,0.0,5.0,4.0,9.0
Davenport Rd / Avenue Rd,43.674991,-79.396273,9,Joso'sBe Thai RestaurantJoso'sBe NourishedEmerald City Beauty BarTD Canada Trust ATMTD Canada Trust Branch and ATM,restaurantrestaurantbarbarbarbankbank,203.0,2.0,3.0,2.0,7.0
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,12,,,,,,,
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,22,,,,,,,
Edward St / Yonge St,43.656729,-79.382736,23,Kernels PopcornEaton Centre Top PatioSt. Louis Bar and Grill,restaurantrestaurantbar,119.0,0.0,1.0,2.0,3.0
Queen's Park / Bloor St W,43.668456,-79.393899,21,Sam James Coffee BarSam James Coffee Bar,restaurantbar,46.0,0.0,1.0,1.0,2.0
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,11,Lunch BoxThe Mugshot TavernLunch Box,restaurantbarbar,123.0,0.0,2.0,1.0,3.0
Shaw St / King St W,43.6412561641921,-79.41502994047545,14,Kings Market Convenience & Food MartStarbucksMeridian Credit Union ATM,restaurantbarbank,68.0,1.0,1.0,1.0,3.0
Havelock St / Dewson St,43.6554793,-79.4302462,14,,,,,,,
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,17,,,,,,,
Spadina Ave / Blue Jays Way,43.641705,-79.393295,30,,,,,,,
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,17,Souvlaki HutSouvlaki HutNail Story,restaurantbarbar,106.0,0.0,2.0,1.0,3.0
