station_name,latitude,longitude,total_bikes
St Clair Ave W / Castleton Ave,43.668496,-79.485426,18
Emdaabiimok Ave / Lake Shore Blvd E,43.662771,-79.315223,15
Highview Ave / Kennedy Rd,43.702418581463505,-79.2563167072858,14
Emerson Ave / Bloor St W,43.658739,-79.440691,21
St Clair Ave W / Oakwood Ave,43.678177,-79.435364,15
Bellamy Rd S / Kingston Rd,43.7323277855009,-79.22496619876934,19
Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
Fulton Ave / Pape Ave,43.68395,-79.347046,19
165 McRae Dr,43.70587454662511,-79.36800595602851,14
Church St / Shuter St,43.65505698168995,-79.37651024603271,14
Spadina Ave / Bulwer St- SMART ,43.649354475273796,-79.39675713332855,12
Crawford St / Lobb Ave,43.64654941401018,-79.41558900317995,22
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,18
King St W / Stafford St,43.6422222,-79.41111111111111,15
Florence Gell Park,43.66196582326018,-79.49851065277862,14
Orchard Park,43.66908,-79.3149,19
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,14
Armel Ct / Albion Rd,43.721532966873205,-79.5455834809678,16
Danforth Ave / Aldridge Ave,43.684758,-79.316767,11
640 Bloor Street E,43.67468857448634,-79.36701962396272,17
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,23
Finch West Subway Station,43.76521,-79.491281,23
College St / Major St,43.6576,-79.4032,15
Bathurst St / Adelaide St W,43.645324,-79.40345,23
Front St W / Spadina Ave,43.64235480340359,-79.39519751877137,18
Bartley Park ,43.72211166436462,-79.30864830919265,15
Weston Rd / Lanyard Rd,43.748713,-79.541808,10
Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,27
Metro Hall Plaza,43.645859,-79.38783,27
Ossington Ave / Bloor St W,43.661705,-79.425734,10
Annette St / Jane St,43.658574,-79.487246,9
Princes' Gates,43.63467323676012,-79.40897321886649,16
Gould St / Mutual St,43.6582,-79.3768,30
Bert Robinson Park,43.688028,-79.460265,15
Portland St / Queen St W,43.6476,-79.4015,15
Bay St / Wellesley St W,43.664088,-79.387095,34
Lansdowne Ave / Seaforth Ave ,43.642904395956684,-79.43746059447746,13
200 Bloor St E,43.671561,-79.38117,23
King St W / University Ave,43.64781808540915,-79.38427999073791,19
Fleming Cres / Bayview Ave,43.707045,-79.375437,12
Eglinton Ave W / Venn Cres,43.69143920681119,-79.46908634795456,19
Bleecker St / St James Ave,43.669232,-79.374495,22
Spadina Rd / St.Clair Ave West,43.683979,-79.410657,15
Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,15
Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,26
Bloor St W / Dundas St W (2),43.64285244644315,-79.53199489206543,13
80 Clinton St,43.656296,-79.414663,13
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,25
Widmer St / Adelaide St W - SMART,43.647547634759206,-79.39155200496292,10
Pacific Ave / Glenlake Ave,43.65716,-79.46478,21
Rosedale Park (20 Scholfield Ave),43.682645,-79.377557,22
Beverley St / Dundas St W,43.652823,-79.393388,31
St Clair Ave W / Winona Dr,43.680466,-79.432522,10
Concord Ave / Bloor St W,43.66189,-79.42679,15
Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,16
Lake Shore Blvd W / Legion Rd,43.62052630763223,-79.48320224237995,18
Morse St / Eastern Ave,43.657991,-79.340075,11
Temperance St Station,43.650945,-79.379498,54
Moss Park,43.655972,-79.370638,13
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,16
Gerrard St E / Nasmith Ave ,43.66273618779861,-79.36253100740966,23
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,19
Glencairn Subway Station,43.70925763810859,-79.44169105036657,15
Exhibition GO Station,43.6352007,-79.4187711,11
Wakunda Pl / O'Connor Dr,43.71602024377182,-79.3047092517501,10
Regal Rd / Dufferin St,43.673939,-79.441159,15
Empress Ave / Yonge St,43.769395456625546,-79.41266521769707,17
Logan Ave / Gerrard St E,43.6672144,-79.3452697,22
Leslie St / Commissioners St  ,43.657275497390124,-79.32661544194183,17
Dundas St E / Regent Park Blvd,43.660207,-79.361275,24
Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,28
